docType,title,id,url,authority,programOwner,shortDesc,desc,policyFramework,category,region,topic,service,commodity,clientType,programStatus,createdDate,modifiedDate,publishedDate,desc_new
program,AgriInsurance,AAFC-004-en,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriinsurance-program,Federal,AAFC,AgriInsurance is a federal-provincial-producer cost-shared program that stabilizes a producer's income by minimizing the economic effects of primarily production losses caused by severe but uncontrollable natural hazards.,AgriInsurance is a federal-provincial-producer cost-shared program that stabilizes a producer's income by minimizing the economic effects of production and/or asset losses caused by natural hazards. AgriInsurance is a provincially-delivered program to which the federal government contributes a portion of total premiums and administrative costs.,CanadianAgriculturalPartnership,Service,AcrossCanada,InsuranceRecoveryAid,InsuranceRecoveryAid,BeesApiculture,FarmersFoodProducers,open,2012-01-27,2021-10-08,2021-10-08,AgriInsurance is a federal-provincial-producer cost-shared program that stabilizes a producer's income by minimizing the economic effects of production and/or asset losses caused by natural hazards. AgriInsurance is a provincially-delivered program to which the federal government contributes a portion of total premiums and administrative costs.
program,Canadian Agricultural Loans Act (CALA) Program,AAFC-006-en,https://agriculture.canada.ca/en/agricultural-programs-and-services/canadian-agricultural-loans-act-program,Federal,AAFC,The Canadian Agricultural Loans Act (CALA) Program is a loan guarantee program designed to increase the availability of loans to farmers and agricultural co-operatives.,"The CALA program builds on and replaces the former Farm Improvement and Marketing Cooperatives Loans Act (FIMCLA) program, which has helped farming operations grow their businesses by guaranteeing loans issued through financial institutions since 1988. The maximum loan available is $500,000 for farmers and $3 million for agricultural co-operatives with Minister's approval. Through the CALA, the Government of Canada is supporting the renewal of the agricultural sector and enabling co-operatives to better seize market opportunities.
          The application for a CALA loan must be made through a financial institution.",NotApplicable,Program,AcrossCanada,EquipmentMachineryProcessing,FinancialSupportIncentives,Nonspecific,YoungFarmersNewEntrants,open,2012-01-27,2021-10-08,2021-10-08,"The CALA program builds on and replaces the former Farm Improvement and Marketing Cooperatives Loans Act (FIMCLA) program, which has helped farming operations grow their businesses by guaranteeing loans issued through financial institutions since 1988. The maximum loan available is $500,000 for farmers and $3 million for agricultural co-operatives with Minister's approval. Through the CALA, the Government of Canada is supporting the renewal of the agricultural sector and enabling co-operatives to better seize market opportunities.
          The application for a CALA loan must be made through a financial institution."
program,Farm Debt Mediation Service (FDMS),AAFC-008-en,https://agriculture.canada.ca/en/agricultural-programs-and-services/farm-debt-mediation-service,Federal,AAFC,The Farm Debt Mediation Service offers financial counselling and mediation services to farmers who are having difficulties meeting their financial obligations. ,"The Farm Debt Mediation Service offers financial counselling and mediation services to farmers who are having difficulties meeting their financial obligations. It is a free and voluntary service for both producers and for creditor(s). The service helps bring producers and their creditor(s) together with a mediator in a neutral forum to reach a mutually acceptable solution.
         Eligible producers are those who farm commercially and who are no longer able to make payments as they come due; and/or producers whose assets, if sold, would not be enough to cover the cost of their debt.",NotApplicable,Service,AcrossCanada,ExpertiseAdviceGuidance,ExpertiseAdviceGuidance,Nonspecific,FarmersFoodProducers,open,2012-01-27,2021-10-08,2021-10-08,"The Farm Debt Mediation Service offers financial counselling and mediation services to farmers who are having difficulties meeting their financial obligations. It is a free and voluntary service for both producers and for creditor(s). The service helps bring producers and their creditor(s) together with a mediator in a neutral forum to reach a mutually acceptable solution.
         Eligible producers are those who farm commercially and who are no longer able to make payments as they come due; and/or producers whose assets, if sold, would not be enough to cover the cost of their debt."
program,Managing Agroclimate Risk,AAFC-0161-en,https://agriculture.canada.ca/en/agriculture-and-environment/drought-watch-and-agroclimate/managing-agroclimate-risk,Federal,AAFC,"The information here on farm management practices will help you to prepare and mitigate risk to your crops, livestock and land during drought conditions.",None,NotApplicable,GuidesInformation,AcrossCanada,LandPurchaseLeasingAccess,LandInfrastructure,Livestock,NonprofitCommunityOrganizations,open,2018-02-06,2020-04-15,2020-04-15,"The information here on farm management practices will help you to prepare and mitigate risk to your crops, livestock and land during drought conditions."
program,Watershed Protection,AAFC-0164-en,https://agriculture.canada.ca/en/agriculture-and-environment/agriculture-and-water/watershed-protection,Federal,AAFC,"Provides information on the basics of watersheds, water quality, and the impacts of agricultural practices on water quality.",None,NotApplicable,GuidesInformation,AcrossCanada,ExpertiseAdviceGuidance,LandInfrastructure,Nonspecific,NonprofitCommunityOrganizations,open,2018-02-09,2021-01-15,2021-01-15,"Provides information on the basics of watersheds, water quality, and the impacts of agricultural practices on water quality."
program,Scientific Achievements in Agriculture,AAFC-0165-en,https://agriculture.canada.ca/en/news-agriculture-and-agri-food-canada/scientific-achievements-agriculture,Federal,AAFC,"Find content highlighting recent scientific discoveries, new technologies and successes.",None,NotApplicable,Research,AcrossCanada,PestManagement,ResearchResults,PoultryEggs,StudentsResearchers,open,2018-02-09,2020-03-24,2020-03-24,"Find content highlighting recent scientific discoveries, new technologies and successes."
program,Agroclimate Impact Reporter,AAFC-0166-en,https://agriculture.canada.ca/en/agriculture-and-environment/drought-watch-and-agroclimate/agroclimate-impact-reporter,Federal,AAFC,"Reports from our volunteer network help communicate current conditions and emerging risks to the agriculture sector, the federal government and many provincial and local government agencies.",None,NotApplicable,Service,AcrossCanada,DataMapsTools,GeospatialClimateDataMapsTools,Nonspecific,NonprofitCommunityOrganizations,open,2018-02-09,2021-01-15,2021-01-15,"Reports from our volunteer network help communicate current conditions and emerging risks to the agriculture sector, the federal government and many provincial and local government agencies."
program,Canadian Drought Monitor,AAFC-0167-en,https://agriculture.canada.ca/en/agriculture-and-environment/drought-watch-and-agroclimate/canadian-drought-monitor,Federal,AAFC,The Canadian Drought Monitor (CDM) is Canada's official source for the monitoring and reporting of drought in Canada.,None,NotApplicable,Service,AcrossCanada,DataMapsTools,GeospatialClimateDataMapsTools,Nonspecific,NonprofitCommunityOrganizations,open,2018-02-09,2021-01-15,2021-01-15,The Canadian Drought Monitor (CDM) is Canada's official source for the monitoring and reporting of drought in Canada.
program,Satellite Soil Moisture,AAFC-0168-en,https://agriculture.canada.ca/en/agriculture-and-environment/drought-watch-and-agroclimate/satellite-soil-moisture,Federal,AAFC,"Maps and data show levels of moisture in the top five centimeters of soil in Canada on a weekly, bi-weekly and monthly basis.",None,NotApplicable,GuidesInformation,AcrossCanada,WaterSoilShelterbelts,GeospatialClimateDataMapsTools,Nonspecific,NonprofitCommunityOrganizations,open,2018-02-09,2021-01-15,2021-01-15,"Maps and data show levels of moisture in the top five centimeters of soil in Canada on a weekly, bi-weekly and monthly basis."
program,Advance Payments Program (APP),AAFC-029-en,https://agriculture.canada.ca/en/agricultural-programs-and-services/advance-payments-program,Federal,AAFC,Provides crop and livestock producers with a cash advance based on the value of their agricultural products to improve their cash flow and marketing abilities.,"The Advance Payments Program (APP) is a financial loan guarantee program that gives farmers easier access to credit through cash advances.
         The APP can provide farmers with a cash advance of up to $400,000, of which the first $100,000 is interest-free. By improving their cash flow throughout the year, the APP helps crop and livestock farmers meet their financial obligations and benefit from the best market conditions.
         The APP is accessed through producer organizations that administer the program. Under the APP, the federal government guarantees repayment of cash advances issued to farmers by the producer organization. These guarantees help the producer organization borrow money from financial institutions at lower interest rates and issue producers a cash advance on the anticipated value of their farm product that is being produced and/or that is in storage.",NotApplicable,Program,AcrossCanada,FinancingCreditIncomeStability,FinancialSupportIncentives,Livestock,Cooperatives,open,2012-01-27,2021-10-08,2021-09-23,"The Advance Payments Program (APP) is a financial loan guarantee program that gives farmers easier access to credit through cash advances.
         The APP can provide farmers with a cash advance of up to $400,000, of which the first $100,000 is interest-free. By improving their cash flow throughout the year, the APP helps crop and livestock farmers meet their financial obligations and benefit from the best market conditions.
         The APP is accessed through producer organizations that administer the program. Under the APP, the federal government guarantees repayment of cash advances issued to farmers by the producer organization. These guarantees help the producer organization borrow money from financial institutions at lower interest rates and issue producers a cash advance on the anticipated value of their farm product that is being produced and/or that is in storage."
